器件结构,基底,FTO
器件结构,ETL,TiO₂
器件结构,吸收层,Cs₂SnI₆
器件结构,背接触,Ni
器件结构,HTL,无
模拟工具,软件,SCAPS-1D + ANN
ETL比较,材料,SnO₂,CdS,GO,TiO₂,MZO,WO₃
ETL比较,CBO (eV),+0.01,-0.17,+0.15,-0.19,+0.01,+0.21
ETL比较,PCE (%),17.2,18.09,17.17,18.17,17.34,17.2
光源,太阳光(AM1.5G),LED室内光
优化参数,吸收层厚度,600 nm,1100 nm
优化参数,缺陷密度,1e13 cm⁻³,1e13 cm⁻³
优化参数,电子亲和能,3.9 eV,3.7 eV
优化参数,背接触功函数,5.5 eV (Ni),5.5 eV (Ni)
优化结果,Voc,1.11 V,1.00 V
优化结果,Jsc,26.86 mA/cm²,2.01 mA/cm²
优化结果,FF,82.26%,83.72%
优化结果,PCE,27.01%,38.75%
ANN结构,输入层神经元数,4
ANN结构,隐藏层神经元数,12
ANN结构,输出层神经元数,4
激活函数,隐藏层,tansig
激活函数,输出层,purelin
训练算法,算法,Levenberg-Marquardt
训练参数,学习率,0.01
训练参数,数据划分,70%训练,15%验证,15%测试
性能指标(太阳光),MSE,8.127e-4
性能指标(太阳光),RMSE,0.00944
性能指标(太阳光),R²,0.968
性能指标(LED),MSE,3.6585e-4
性能指标(LED),RMSE,0.00614
性能指标(LED),R²,0.986
参数重要性,吸收层厚度,20.29%
参数重要性,金属功函数,16.87%
参数重要性,电子亲和能,13.61%
参数重要性,缺陷密度,9.14%
