Feature,Importance,中文释义
Type_OC_QD,0.28,量子点表面的有机配体类型（如油酸、油胺等）
QY,0.15,光致发光量子产率（衡量发光效率）
Host_PMMA,0.08,主体材料为聚甲基丙烯酸甲酯（光学基质或封装层）
Host_anhydrous dimethyl sulfoxide and N-methyl-2-pyrrolidone,0.04,无水二甲基亚砜 + N-甲基吡咯烷酮混合溶剂（溶解钙钛矿前驱体）
Host_PDMS,0.03,主体材料为聚二甲基硅氧烷（柔性基底/封装材料）
Type_OC_dye,0.02,量子点配体为有机染料分子（用于敏化或调色）
Emax,0.01,最大电致发光强度（或光谱峰值强度）
Host_GLYMO/TMSO/ASB,0.01,主体材料含硅烷/四亚甲基亚砜/两性离子表面活性剂（界面修饰）
Processing_bulk,0.005,体相处理工艺（如浓度、旋涂、退火等）
Amin,0.004,最小吸收值（反映透射或反射特性）
Host_t-U(5000),0.003,经过5000次循环处理的主体材料（t-U为内部代号）
Amax,0.002,最大吸收值（吸收峰高度）
Ap,0.0015,吸收峰位置（单位nm或eV）
Type_OC_polymer,0.001,量子点配体为聚合物（如PVP、聚苯乙烯等）
Host_polymer,0.0008,聚合物主体材料（未具体指定）
