数据集,来源,figshare
数据集,总样本数,236
数据集,输入特征(数值),Ap, Amin, Amax, Ep, Emin, Emax
数据集,可选额外特征,量子产率,光学中心类型,加工方法
数据集,输出变量,PCE, η_opt
,,,
回归模型,特征数,是否去除异常值,MAE(PCE),MSE(PCE),R²(PCE),MAE(η_opt),MSE(η_opt),R²(η_opt)
Linear Regression,6,否,1.21,2.03,0.19,4.11,32.5,-0.08
Linear Regression,6,是,0.98,1.84,0.12,1.46,2.81,-0.02
KNN,6,否,1.05,2.23,0.11,2.38,12.45,0.58
KNN,6,是,0.72,1.13,0.46,1.12,2.12,0.23
Random Forest,6,否,0.94,1.66,0.34,4.2,32.08,-0.07
Random Forest,6,是,0.7,1.01,0.52,1.24,2.19,0.2
Gradient Boosting,6,否,1.08,2.45,0.02,3.43,22.79,0.24
Gradient Boosting,6,是,0.85,1.58,0.24,1.34,2.62,0.05
XGBoost,6,否,1.01,1.56,0.38,3.66,31.29,-0.04
XGBoost,6,是,0.8,1.3,0.38,1.47,2.94,-0.07
,,,
聚类方法,K-Means K值,5
聚类与回归一致性,MAE(PCE),约6%
聚类与回归一致性,MAE(η_opt),约7%
