系统参数,主反射镜数量,288
系统参数,主反射镜总面积,184.32 m²
系统参数,接收器类型,双管吸收器+次级反射器
优化算法,算法,NSGA-II
优化算法,目标函数1,最大化吸收功率(q_int)
优化算法,目标函数2,最小化辐射通量不均匀性(S_q'')
优化算法,设计变量,"控制点极坐标(角度ψ,距离d)"
优化算法,控制点数量,6
优化算法,约束条件,q_int >= 0.9*q_an
光线追迹,工具,Tonatiuh++
光线追迹,光线数,1e7
光线追迹,DNI,1000 W/m²
光线追迹,太阳模型,Buie CSR=2%
光线追迹,斜率误差,2 mrad (正态)
光线追迹,主镜反射率,92.4%
光线追迹,次级反射率,88.3%
优化结果,AI-AD型 q_int,381.73 W
优化结果,AI-AD型 S_q'',7.6 W/m²
优化结果,AI子弹型 q_int,371.84 W
优化结果,AI子弹型 S_q'',10.5 W/m²
优化结果,解析设计 S_q'',15 W/m²
计算资源,CPU,i7-1355U
计算资源,内存,32GB
计算资源,耗时,120小时
