参数,来源,总样本数,训练样本数,测试样本数,特征列表,目标,输入层神经元数,隐藏层1神经元数,隐藏层2神经元数,输出层神经元数,隐藏层,算法,学习率,最大迭代次数,停止条件,训练集MSE,测试集MSE,测试集MAE,测试集R²,10折交叉验证R²,文献,模型,网络类型,时间序列类型,编码方式,训练方法,RMSE(杰宁),MAE(杰宁),nRMSE(杰宁),RMSE(安曼),MAE(安曼),nRMSE(安曼),系统参数_主反射镜数量,系统参数_主反射镜总面积,系统参数_接收器类型,优化算法_算法,优化算法_目标函数1,优化算法_目标函数2,优化算法_设计变量,优化算法_控制点数量,优化算法_约束条件,光线追迹_工具,光线追迹_光线数,光线追迹_DNI,光线追迹_太阳模型,光线追迹_斜率误差,光线追迹_主镜反射率,光线追迹_次级反射率,优化结果_AI-AD型 q_int,优化结果_AI-AD型 S_q'',优化结果_AI子弹型 q_int,优化结果_AI子弹型 S_q'',优化结果_解析设计 S_q'',计算资源_CPU,计算资源_内存,计算资源_耗时,回归模型,特征数,是否去除异常值,MAE(PCE),MSE(PCE),R²(PCE),MAE(η_opt),MSE(η_opt),R²(η_opt),数据集_来源,数据集_总样本数,数据集_输入特征(数值),数据集_可选额外特征,数据集_输出变量,聚类方法_K-Means K值,聚类与回归一致性_MAE(PCE),聚类与回归一致性_MAE(η_opt),材料,合成方法,平均尺寸,晶面间距,发光中心波长,半高宽,量子产率,尺寸,每个波长光子数,光传播模型,掺杂浓度范围,最佳掺杂浓度,未吸收光子比例,再发射损耗,光子逸出几率,平均集光效率,器件结构_基底,器件结构_ETL,器件结构_吸收层,器件结构_背接触,器件结构_HTL,模拟工具_软件,ETL材料,CBO (eV),PCE (%)_ETL筛选,光源1,光源2,ANN结构_输入层神经元数,ANN结构_隐藏层神经元数,ANN结构_输出层神经元数,激活函数_隐藏层,激活函数_输出层,训练算法_算法,训练参数_学习率,训练参数_数据划分,太阳光_MSE,太阳光_RMSE,太阳光_R²,LED_MSE,LED_RMSE,LED_R²,重要性_吸收层厚度,重要性_金属功函数,重要性_电子亲和能,重要性_缺陷密度,光源,吸收层厚度,缺陷密度,电子亲和能,背接触功函数,Voc,Jsc,FF,PCE
值,figshare,236,193,43,"吸收峰值波长(Ap), 吸收最小值(Amin), 吸收最大值(Amax), 发射峰值波长(Ep), 发射最小值(Emin), 发射最大值(Emax), 量子产率(yield), 光学中心类型, 基质类型, 化学成分, 加工方法",光学转换效率(η_opt),19,97,19,1,Sigmoid,mini-batch梯度下降,0.001,250000000,验证集误差<0.0001,0.0055,1.2e-5,0.0017,0.99955,0.96893,André 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ayasi 2025,ANN,LSTM,多变量,None,Backprop,50,27.8,0.047,18,12.7,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ayasi 2025,ANN,LSTM,单变量,None,Backprop,57.8,31,0.053,23,13.7,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ayasi 2025,ANN,MLP,多变量,None,Backprop,49.8,27,0.047,17.37,16,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ayasi 2025,ANN,MLP,单变量,None,Backprop,57.3,31.6,0.053,23.02,14,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ayasi 2025,ANN,CNN,多变量,None,Backprop,48.34,24,0.047,18.46,12.7,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ayasi 2025,ANN,CNN,单变量,None,Backprop,59.8,30,0.053,26.06,23,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ayasi 2025,SNN,MLP,多变量,Sigma-Delta,SLAYER,53,31,0.05,25.09,22,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ayasi 2025,SNN,MLP,单变量,Sigma-Delta,SLAYER,64,33,0.06,31.49,18,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Ayasi 2025,SNN,CNN,多变量,Sigma-Delta,SLAYER,52,25,0.048,22.58,28,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
